last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Davis, Chris,448801,2016,30,566,665,125,66,21,0,38,219,88,32.9,13.2,.221,.459,.332,.792,84,1,157,8,99,1,0,,.218,.486,.340,.349,.331,.268,91.1,17.2,35.7,15.1,37.7,34.6,22,5.7,26.5,
Zobrist, Ben,450314,2016,35,523,631,142,90,31,3,18,82,96,13.0,15.2,.272,.446,.384,.829,76,6,147,4,94,5,1,,.271,.409,.360,.350,.386,.138,89.2,9.5,32.5,4.5,49,19.2,26.5,5.3,27.3,
Fowler, Dexter,451594,2016,30,456,551,126,81,25,7,13,124,79,22.5,14.3,.276,.447,.392,.839,48,13,125,11,84,8,5,,.250,.398,.367,.345,.373,.148,88.1,12.4,37.1,5.6,41.8,22.8,30,5.3,28.2,
Headley, Chase,452104,2016,32,467,529,118,85,18,1,14,118,51,22.3,9.6,.253,.385,.331,.716,51,8,140,6,58,8,0,,.239,.375,.312,.306,.321,.136,87.3,11.9,33.6,5.9,44.9,24,25.4,5.6,25.7,
Span, Denard,452655,2016,32,572,637,152,113,23,5,11,79,53,12.4,8.3,.266,.381,.328,.709,53,12,143,4,70,12,0,,.270,.373,.312,.312,.336,.102,86,6.6,29.5,2.8,54.5,15.2,25.9,4.4,27.9,
Cabrera, Asdrubal,452678,2016,31,521,568,146,92,30,1,23,103,38,18.1,6.7,.280,.474,.336,.810,62,5,141,7,65,3,2,,.249,.415,.345,.311,.308,.166,89,15.6,36.4,5.7,40,24.8,27.9,7.4,25.5,
Ellsbury, Jacoby,453056,2016,33,551,626,145,107,24,5,9,84,54,13.4,8.6,.263,.374,.321,.695,56,20,148,2,71,16,2,,.265,.357,.308,.305,.331,.093,86.9,10.7,30.8,1.7,47,17.7,26.2,9.1,27.9,
Tulowitzki, Troy,453064,2016,32,492,544,125,80,21,0,24,101,43,18.6,7.9,.254,.443,.318,.761,79,1,131,5,54,1,0,,.265,.487,.327,.349,.330,.222,90,14.2,33.7,9.6,41,26.1,24.1,8.9,25.5,
Blackmon, Charlie,453568,2016,30,578,641,187,118,35,5,29,102,43,15.9,6.7,.324,.552,.379,.931,82,17,143,13,111,16,1,,.290,.472,.394,.353,.351,.182,87.7,15.2,39.1,6.8,35.6,22.2,35,7.2,27.7,
Frazier, Todd,453943,2016,30,590,666,133,72,21,0,40,163,64,24.5,9.6,.225,.464,.302,.766,98,15,158,4,89,14,1,,.217,.423,.326,.311,.296,.206,89,20.4,31.7,10.1,35.2,26.7,23.4,14.7,26.2,
Markakis, Nick,455976,2016,33,599,684,161,110,38,0,13,101,71,14.8,10.4,.269,.397,.346,.744,89,0,158,5,67,0,0,,.274,.412,.321,.334,.355,.138,90.7,10.7,37.7,4.9,44,20.1,31,4.9,25.4,
Pedroia, Dustin,456030,2016,33,633,698,201,149,36,1,15,73,61,10.5,8.7,.318,.449,.375,.824,74,7,154,0,105,5,2,,.283,.401,.358,.329,.346,.118,88.6,8.6,35.3,2.5,48.9,18.6,27.7,4.8,26.6,
Nunez, Eduardo,456488,2016,29,553,595,159,115,24,4,16,88,29,14.8,4.9,.288,.432,.324,.757,67,40,141,5,73,37,3,,.250,.382,.324,.294,.293,.132,89.6,8.4,28.8,4.4,50.3,19.7,21.8,8.2,28.0,
McCutchen, Andrew,457705,2016,30,598,675,153,100,26,3,24,143,69,21.2,10.2,.256,.430,.336,.766,79,6,153,5,81,6,0,,.251,.444,.329,.334,.334,.193,89.6,16.5,32.3,8.5,36.9,24.2,29.7,9.2,29.1,
Upton, Justin,457708,2016,29,570,626,140,79,28,2,31,179,50,28.6,8.0,.246,.465,.310,.775,87,9,153,4,81,9,0,,.249,.478,.329,.337,.313,.229,91.2,15.5,33.1,12.2,39.2,25.4,27,8.4,27.4,
Turner, Justin,457759,2016,32,556,622,153,89,34,3,27,107,48,17.2,7.7,.275,.493,.339,.832,90,4,151,10,79,4,0,,.274,.481,.353,.352,.341,.207,90.6,17,37.4,8.8,36.3,27.6,29.5,6.6,26.1,
Posey III, Buster,457763,2016,29,539,614,155,106,33,2,14,68,64,11.1,10.4,.288,.434,.362,.796,80,6,146,3,82,5,1,,.282,.470,.341,.354,.358,.188,90.5,9.9,32.6,6.9,49.3,19.6,27.8,3.3,25.1,
Espinosa, Danny,457787,2016,29,516,601,108,69,15,0,24,174,54,29.0,9.0,.209,.378,.303,.681,72,9,157,20,66,6,3,,.186,.342,.294,.273,.287,.156,90.1,14.8,26.6,8.2,43.1,24.4,24.4,8.2,27.7,
Bruce, Jay,457803,2016,29,539,589,135,69,27,6,33,126,44,21.4,7.5,.250,.506,.309,.815,99,4,147,3,74,3,1,,.249,.464,.340,.328,.309,.215,88.8,14.8,36.1,8.4,38.9,27.4,27.6,6,26.8,
Votto, Joey,458015,2016,33,556,677,181,116,34,2,29,120,108,17.7,16.0,.326,.550,.434,.985,97,8,158,5,101,6,2,,.298,.528,.413,.397,.413,.229,89.5,11.6,40.5,9.7,44.1,19.4,35.1,1.4,24.9,
Gardner, Brett,458731,2016,33,547,634,143,108,22,6,7,106,70,16.7,11.0,.261,.362,.349,.711,41,16,148,8,80,14,2,,.250,.343,.317,.309,.342,.093,86.5,7.4,27.8,2.4,52.9,18.9,22.4,5.8,28.7,
Saunders, Michael,459431,2016,30,490,558,124,65,32,3,24,157,59,28.1,10.6,.253,.478,.337,.814,57,1,140,5,70,1,0,,.232,.401,.348,.316,.320,.169,90,11.1,33.2,7.7,41.5,24.6,28.2,5.6,26.8,
Braun, Ryan,460075,2016,33,511,564,156,100,23,3,30,98,46,17.4,8.2,.305,.538,.365,.903,91,16,135,4,80,13,3,,.278,.463,.378,.345,.344,.185,90,4.6,27.2,8.4,56.7,16.3,22.6,4.3,27.4,
Gordon, Alex,460086,2016,32,445,506,98,63,16,2,17,148,52,29.2,10.3,.220,.380,.312,.692,40,8,128,8,62,6,2,,.228,.418,.303,.321,.319,.190,87.8,15.2,35.2,8.7,38.6,28.5,27.9,5,26.2,
Kemp, Matt,461314,2016,32,623,672,167,93,39,0,35,156,36,23.2,5.4,.268,.499,.304,.803,108,1,156,1,89,1,0,,.265,.517,.333,.344,.304,.252,88.2,14.5,37.2,11.1,40.5,27.6,26.9,5,25.3,
Andrus, Elvis,462101,2016,28,506,568,153,107,31,7,8,70,47,12.3,8.3,.302,.439,.359,.798,69,24,147,4,75,17,7,,.277,.381,.344,.319,.342,.105,87.4,9,32.4,1.8,49,17.2,27.3,6.5,27.5,
Cabrera, Melky,466320,2016,32,591,646,175,114,42,5,14,69,47,10.7,7.3,.296,.455,.344,.799,86,2,151,0,70,2,0,,.273,.379,.342,.308,.325,.106,89.5,11.1,33.4,2.1,43.6,21.1,28.1,7.2,25.5,
Ramos, Wilson,467092,2016,29,482,523,148,101,25,0,22,79,35,15.1,6.7,.307,.496,.354,.850,80,0,131,2,58,0,0,,.273,.471,.361,.342,.325,.197,90.8,4.8,32.7,7.4,54.5,15,26.8,3.7,24.0,
Santana, Carlos,467793,2016,30,582,688,151,83,31,3,34,99,99,14.4,14.4,.259,.498,.366,.865,87,5,158,2,89,5,0,,.273,.508,.370,.382,.379,.236,90.8,14.4,29.3,9.8,43,21.5,25.6,9.8,25.8,
Gonzalez, Carlos,471865,2016,31,584,632,174,105,42,2,25,129,46,20.4,7.3,.298,.505,.350,.855,100,2,150,1,87,2,0,,.271,.456,.361,.334,.325,.184,90.2,9,32.2,8.6,46.5,17.8,29.2,6.6,27.1,
Mercer, Jordy,474568,2016,30,519,584,133,97,22,3,11,83,51,14.2,8.7,.256,.374,.324,.697,59,1,149,5,66,1,0,,.237,.337,.304,.285,.312,.100,86.9,11.1,27.9,2.2,49.9,19.8,24.3,6.1,27.6,
Belt, Brandon,474832,2016,28,542,655,149,83,41,8,17,148,104,22.6,15.9,.275,.474,.394,.868,82,0,156,5,77,0,0,,.258,.480,.374,.374,.382,.222,87.2,21.2,42.2,11.3,27.4,29.9,35.4,7.3,26.3,
Carter, Chris,474892,2016,30,549,644,122,53,27,1,41,206,76,32.0,11.8,.222,.499,.321,.821,94,3,160,9,84,3,0,,.235,.530,.346,.365,.334,.295,91.7,18.6,36.3,17.6,31.7,31.2,29.2,7.9,26.6,
Alonso, Yonder,475174,2016,29,482,532,122,81,34,0,7,74,45,13.9,8.5,.253,.367,.316,.683,56,3,156,1,52,2,1,,.256,.393,.299,.312,.320,.138,88.6,11.2,33.3,4.1,45.4,19.4,28.2,7,24.5,
Escobar, Yunel,488862,2016,34,517,567,157,123,28,1,5,67,40,11.8,7.1,.304,.391,.353,.743,39,0,132,3,68,0,0,,.274,.374,.327,.310,.328,.101,89.3,1.9,27.8,2.8,59.1,13.6,24.7,2.6,25.5,
Cespedes, Yoenis,493316,2016,31,479,543,134,77,25,1,31,108,51,19.9,9.4,.280,.530,.354,.884,86,3,132,7,72,0,3,,.281,.523,.369,.371,.357,.242,91.7,16.3,32.9,9.8,37.7,26,27.3,9,27.1,
Ramirez, Alexei,493351,2016,35,478,506,115,85,22,2,6,63,21,12.5,4.2,.241,.333,.277,.609,48,8,145,4,38,5,3,,.240,.300,.264,.253,.276,.060,84.5,9,30.9,0.5,51.9,16.3,24.2,7.7,26.5,
Davis, Khris,501981,2016,29,555,610,137,69,24,2,42,166,42,27.2,6.9,.247,.524,.307,.831,102,1,150,8,85,1,0,,.248,.556,.349,.364,.309,.308,92,13.3,31.5,17,43.4,27.4,22.8,6.3,27.1,
Martinez, J.D.,502110,2016,29,460,517,141,82,35,2,22,128,49,24.8,9.5,.307,.535,.373,.908,68,1,120,3,69,1,0,,.292,.568,.384,.395,.364,.276,91.5,13.4,38,14.2,43,25.2,27.9,3.9,27.0,
Valencia, Danny,502143,2016,32,471,517,135,95,22,1,17,115,41,22.2,7.9,.287,.446,.346,.792,51,1,130,3,72,1,0,,.275,.464,.342,.345,.336,.189,90.1,9.8,35.2,7.8,46.1,17.6,28.5,7.8,26.9,
Murphy, Daniel,502517,2016,31,531,582,184,107,47,5,25,57,35,9.8,6.0,.347,.595,.390,.985,104,5,142,8,88,5,0,,.313,.554,.408,.389,.364,.241,90.7,16.8,36.3,8.5,37.6,26.6,29,6.8,26.5,
Goldschmidt, Paul,502671,2016,29,579,705,172,112,33,3,24,150,110,21.3,15.6,.297,.489,.410,.899,95,32,158,7,106,26,6,,.268,.452,.382,.362,.388,.184,91,11,33,7.8,47.4,19,28.1,5.5,27.4,
Gonzalez, Marwin,503556,2016,27,484,518,123,81,26,3,13,118,22,22.8,4.2,.254,.401,.290,.690,51,12,141,5,55,9,3,,.222,.370,.298,.274,.263,.147,89.3,9.3,30.3,5.4,50.7,20.1,23.9,5.4,26.5,
Altuve, Jose,514888,2016,26,640,717,216,145,42,5,24,70,60,9.8,8.4,.338,.531,.395,.926,96,30,161,7,108,22,8,,.313,.516,.391,.378,.376,.203,88.3,11.4,39.3,6.9,43.4,22.2,30,4.3,28.4,
Hernandez, Cesar,514917,2016,26,547,622,161,130,14,11,6,116,66,18.6,10.6,.294,.393,.368,.761,39,17,155,2,67,17,0,,.257,.335,.335,.301,.339,.078,87,5,29.9,1.8,58.4,12.1,25.8,3.7,29.6,
Segura, Jean,516416,2016,26,637,694,203,135,41,7,20,101,39,14.6,5.6,.319,.499,.366,.865,64,33,153,12,102,22,11,,.267,.447,.371,.331,.321,.179,89,7.9,31,5.9,54.2,17.7,25.1,3,28.4,
Castro, Starlin,516770,2016,26,577,610,156,105,29,1,21,118,24,19.3,3.9,.270,.433,.300,.733,70,4,151,3,63,4,0,,.260,.414,.313,.305,.292,.154,88.5,8.9,32.3,5.4,50.1,20.6,24.5,4.7,27.5,
Marte, Starling,516782,2016,28,489,529,152,104,34,5,9,104,23,19.7,4.3,.311,.456,.361,.817,46,47,129,16,71,44,3,,.277,.428,.351,.327,.330,.151,87.5,9.2,35.8,5.4,48.7,17.6,28.8,4.9,28.9,
Donaldson, Josh,518626,2016,31,577,700,164,90,32,5,37,119,109,17.0,15.6,.284,.549,.403,.952,99,7,155,9,122,5,2,,.275,.545,.403,.399,.397,.269,92.2,14.9,32.4,12.3,39.5,24.6,25.3,10.6,27.1,
Freeman, Freddie,518692,2016,27,589,693,178,95,43,6,34,171,89,24.7,12.8,.302,.569,.400,.968,91,6,158,10,102,5,1,,.276,.556,.402,.391,.380,.280,91.3,17.3,44.7,13.2,31.9,27.9,35.2,5,26.3,
Heyward, Jason,518792,2016,27,530,592,122,87,27,1,7,93,54,15.7,9.1,.230,.325,.306,.630,49,11,142,5,61,11,0,,.249,.345,.282,.298,.323,.097,86.8,10.7,28.9,3,46.4,16.1,26.6,10.9,27.7,
LeMahieu, DJ,518934,2016,28,552,635,192,141,32,8,11,80,66,12.6,10.4,.348,.495,.411,.906,66,11,146,3,104,9,2,,.332,.483,.391,.386,.405,.151,91.8,6.1,36.2,4.9,52.9,10.1,33.7,3.3,27.2,
Lucroy, Jonathan,518960,2016,30,490,544,143,92,24,3,24,100,47,18.4,8.6,.292,.500,.355,.855,81,5,142,3,67,5,0,,.271,.462,.362,.341,.337,.191,87.6,14.5,37.6,7.4,38.6,21.6,31.5,8.4,25.5,
Moreland, Mitch,519048,2016,31,460,503,107,64,21,0,22,118,35,23.5,7.0,.233,.422,.298,.720,60,1,147,8,49,1,0,,.252,.468,.307,.334,.316,.216,90.6,14.4,33.6,9.6,43,21.9,24.6,10.5,25.6,
Rizzo, Anthony,519203,2016,27,583,676,170,91,43,4,32,108,74,16.0,10.9,.292,.544,.385,.928,109,3,155,16,94,3,0,,.258,.475,.391,.356,.356,.217,89.1,16.3,31.6,9.2,38.3,26.8,26.2,8.8,25.9,
Vogt, Stephen,519390,2016,32,490,532,123,77,30,2,14,83,35,15.6,6.6,.251,.406,.305,.711,56,0,137,4,54,0,0,,.256,.406,.305,.308,.309,.151,85.9,19.4,40.7,5.1,30.7,31,28,10.2,26.0,
Galvis, Freddy,520471,2016,27,584,624,141,92,26,3,20,136,25,21.8,4.0,.241,.399,.271,.670,67,17,158,3,61,9,8,,.224,.336,.284,.257,.259,.112,87.4,13.6,33.9,2.8,42.8,23.3,27.2,6.7,27.6,
Perez, Salvador,521692,2016,26,514,546,127,75,28,2,22,119,22,21.8,4.0,.247,.438,.288,.725,64,0,139,8,57,0,0,,.236,.395,.308,.289,.277,.159,88.8,18.9,29.5,6.3,35.8,28.2,21.2,14.9,25.9,
Forsythe, Logan,523253,2016,29,511,567,135,87,24,4,20,127,46,22.4,8.1,.264,.444,.333,.778,52,6,127,8,76,6,0,,.270,.475,.336,.350,.339,.205,90,13.6,38.9,7.5,42,26.7,26.9,4.4,27.7,
Inciarte, Ender,542255,2016,26,522,578,152,118,24,7,3,68,45,11.8,7.8,.291,.381,.348,.729,29,16,131,4,85,9,7,,.259,.324,.319,.286,.322,.065,85.5,8.2,31.5,0.7,51.2,13.2,29.3,6.3,27.8,
Ozuna, Marcell,542303,2016,26,557,608,148,96,23,6,23,115,43,18.9,7.1,.266,.452,.321,.773,76,0,148,4,75,0,0,,.272,.462,.330,.338,.327,.190,90.8,10.9,32.3,7.8,44.6,21.5,27.1,6.7,28.0,
Villar, Jonathan,542340,2016,25,589,679,168,108,38,3,19,174,79,25.6,11.6,.285,.457,.367,.823,63,62,156,2,92,49,13,,.235,.366,.356,.307,.327,.132,90.3,4.7,28.8,6.4,57.8,13.4,25,3.8,28.0,
Crawford, Brandon,543063,2016,29,553,623,152,101,28,11,12,115,57,18.5,9.1,.275,.430,.342,.772,84,7,155,4,67,5,2,,.242,.392,.327,.306,.316,.150,88.9,12.9,33.8,5.4,43.8,20.6,28.9,6.7,26.6,
Harrison, Josh,543281,2016,29,487,522,138,102,25,7,4,76,18,14.6,3.4,.283,.388,.308,.697,59,19,131,5,57,15,4,,.232,.342,.301,.264,.265,.110,86.5,13,36.6,2.1,46.6,25.1,23.9,4.5,27.9,
Hosmer, Eric,543333,2016,27,605,667,161,111,24,1,25,132,57,19.8,8.5,.266,.433,.328,.761,104,5,158,1,80,5,0,,.257,.435,.326,.327,.323,.178,92,4,26,9.2,59.3,18.2,19.1,3.4,26.2,
Kipnis, Jason,543401,2016,29,610,688,168,100,41,4,23,146,60,21.2,8.7,.275,.469,.340,.809,82,15,156,6,91,14,1,,.265,.441,.347,.338,.335,.177,89.9,14.8,38.2,6.7,41,21,32.1,5.9,27.3,
Miller, Brad,543543,2016,27,548,601,133,68,29,6,30,149,47,24.8,7.8,.243,.482,.304,.786,81,6,152,3,73,5,1,,.239,.435,.333,.318,.303,.196,90.6,12,29.6,9.7,45.8,23.6,21.6,9,27.8,
Rendon, Anthony,543685,2016,26,567,647,153,93,38,2,20,117,65,18.1,10.0,.270,.450,.348,.797,85,12,156,7,91,12,0,,.260,.441,.342,.340,.342,.181,91.1,16.9,35.6,5.9,36.2,26.9,28.6,8.3,28.1,
Semien, Marcus,543760,2016,26,568,621,135,79,27,2,27,139,51,22.4,8.2,.238,.435,.300,.734,75,10,159,0,72,10,0,,.218,.400,.315,.295,.282,.182,88,15.4,31.8,6.7,40.4,29,24.1,6.5,28.4,
Shaw, Travis,543768,2016,26,480,530,116,64,34,2,16,133,43,25.1,8.1,.242,.421,.306,.726,71,5,145,3,63,3,1,,.230,.412,.310,.303,.295,.182,88.6,16.2,34.2,8,36.8,30.2,23.4,9.7,26.2,
Springer III, George,543807,2016,27,644,744,168,105,29,5,29,178,88,23.9,11.8,.261,.457,.359,.815,82,9,162,11,116,9,0,,.256,.461,.353,.353,.355,.205,89.4,8.8,32.1,10.5,49.5,21.6,24.4,4.5,28.4,
Gregorius, Didi,544369,2016,26,562,597,155,101,32,2,20,82,19,13.7,3.2,.276,.447,.302,.748,70,7,153,6,68,5,1,,.247,.351,.319,.272,.277,.104,86.1,14.6,32.4,2.9,42,24.7,24.5,8.8,28.1,
Trout, Mike,545361,2016,25,549,681,173,107,32,5,29,137,116,20.1,17.0,.315,.550,.441,.991,100,30,159,11,123,19,10,,.296,.557,.418,.418,.427,.261,90.9,13.8,37.6,14.4,42.2,25.4,29,3.4,29.0,
Herrera, Odubel,546318,2016,25,583,656,167,125,21,6,15,134,63,20.4,9.6,.286,.420,.360,.780,49,25,159,6,87,24,1,,.232,.349,.338,.291,.313,.117,87.7,10.3,30.7,4.2,48.1,21,25.2,5.7,27.3,
Harper, Bryce,547180,2016,24,506,627,123,73,24,2,24,117,108,18.7,17.2,.243,.441,.373,.814,86,21,147,3,84,19,2,,.240,.421,.343,.339,.373,.181,89,15.2,29.8,7.3,41.1,24.1,26.6,8.3,27.2,
Martin, Leonys,547982,2016,28,518,576,128,93,17,3,15,149,44,25.9,7.6,.247,.378,.304,.682,47,24,143,3,72,20,4,,.218,.324,.298,.272,.282,.107,87.6,12.9,30.3,5,45.5,20,23.9,10.5,27.3,
