last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Merrifield, Whit,593160,2017,28,587,630,169,112,32,6,19,88,29,14.0,4.6,.288,.460,.324,.784,78,34,145,6,80,26,8,,.271,.447,.332,.323,.310,.176,87.6,16.4,36.7,5.1,38.1,26.6,28.4,6.9,29.2,
Bogaerts, Xander,593428,2017,25,571,635,156,108,32,6,10,116,56,18.3,8.8,.273,.403,.343,.746,62,15,148,6,94,12,3,,.243,.331,.321,.286,.316,.088,87.3,8.1,26.7,1.3,48.4,17.7,24.9,9,28.3,
Polanco, Jorge,593871,2017,24,488,544,125,79,30,3,13,78,41,14.3,7.5,.256,.410,.309,.719,74,13,133,2,60,13,0,,.237,.358,.309,.288,.298,.121,85,16.3,31.4,2.6,41.1,25.5,23.2,10.2,28.5,
Calhoun, Kole,594777,2017,30,569,654,139,95,23,2,19,134,71,20.5,10.9,.244,.392,.333,.725,71,5,155,8,77,5,0,,.248,.410,.315,.326,.338,.162,88.3,12.3,34.7,5.7,44.4,22.7,26.3,6.6,26.4,
Duvall, Adam,594807,2017,29,587,647,146,75,37,3,31,170,39,26.3,6.0,.249,.480,.301,.782,99,5,157,10,78,5,0,,.225,.417,.327,.300,.282,.193,87.3,21.1,34.6,8.9,33.4,29,24.3,13.3,27.9,
Schebler, Scott,594988,2017,27,473,531,110,53,25,2,30,125,39,23.5,7.3,.233,.484,.307,.791,67,5,141,14,63,5,0,,.256,.494,.330,.348,.329,.238,89.1,11.7,30.3,10.2,46.2,24.4,19.8,9.6,28.3,
Baez, Javier,595879,2017,25,469,508,128,79,24,2,23,144,30,28.3,5.9,.273,.480,.313,.793,75,10,145,1,75,8,1,,.238,.425,.326,.293,.285,.188,87.9,10.1,28.2,8.4,49.8,21.9,19.8,8.4,28.5,
Lindor, Francisco,596019,2017,24,651,723,178,97,44,4,33,93,60,12.9,8.3,.273,.505,.335,.840,89,15,159,4,99,14,1,,.276,.492,.353,.352,.341,.216,89,14.6,32.2,7.1,40.6,28.8,24.7,5.8,28.0,
Odor, Rougned,596059,2017,23,607,651,124,70,21,3,30,162,32,24.9,4.9,.204,.397,.252,.649,75,15,162,8,79,13,2,,.228,.401,.272,.287,.275,.173,89.1,15.9,27.2,6,42.5,25.2,20.7,11.6,28.1,
Story, Trevor,596115,2017,25,503,555,120,61,32,3,24,191,49,34.4,8.8,.239,.457,.308,.765,82,7,145,2,68,7,0,,.215,.404,.323,.296,.287,.189,89.4,19.2,37.1,10.5,34.8,30.4,25.6,9.3,29.3,
Sanchez, Gary,596142,2017,25,471,525,131,78,20,0,33,120,40,22.9,7.6,.278,.531,.345,.876,90,2,122,10,79,2,0,,.283,.534,.368,.376,.351,.251,90.8,13.3,33,11.5,42.8,23.1,24.5,9.6,26.0,
Kepler, Max,596146,2017,24,511,568,124,71,32,2,19,114,47,20.1,8.3,.243,.425,.312,.736,69,6,147,6,67,6,0,,.243,.372,.315,.300,.314,.129,88.7,13.2,31.9,4,44.1,20.4,24.9,10.5,28.0,
Franco, Maikel,596748,2017,25,575,623,132,78,29,1,24,95,41,15.2,6.6,.230,.409,.281,.690,76,0,154,2,66,0,0,,.245,.394,.292,.301,.298,.150,88.9,11.4,26.4,5.8,45.8,22.3,22.1,9.9,26.0,
Bradley Jr., Jackie,598265,2017,27,482,541,118,79,19,3,17,124,48,22.9,8.9,.245,.402,.323,.726,63,8,133,9,58,6,2,,.244,.418,.313,.323,.325,.174,88.3,9.5,30.6,7.8,50.3,21.1,22.5,6.1,27.5,
Bell, Josh,605137,2017,25,549,620,140,82,26,6,26,117,66,18.9,10.6,.255,.466,.334,.800,90,2,159,1,75,2,0,,.258,.425,.338,.329,.337,.167,87.6,8.6,28.9,6.4,52.3,19.3,22.5,6,27.2,
Betts, Mookie,605141,2017,25,628,712,166,94,46,2,24,79,77,11.1,10.8,.264,.459,.344,.803,102,26,153,2,101,21,5,,.270,.429,.339,.336,.352,.159,88.4,14.3,31.9,4.5,41,21.7,24.7,12.6,27.9,
Panik, Joe,605412,2017,27,511,573,147,104,28,5,10,54,46,9.4,8.0,.288,.421,.346,.766,53,4,138,5,60,4,0,,.254,.372,.329,.305,.322,.117,85,11.4,32.9,2.6,45.3,23.1,25.6,6,26.0,
Arcia, Orlando,606115,2017,23,506,548,140,106,17,2,15,100,36,18.2,6.6,.277,.407,.323,.730,53,14,153,1,56,11,3,,.243,.352,.309,.278,.295,.109,85.7,6.8,28.7,3.9,52.3,17.3,24.6,5.8,27.3,
Peraza, Jose,606299,2017,23,487,518,126,108,9,4,5,70,20,13.5,3.9,.259,.324,.295,.620,37,23,143,7,50,20,3,,.278,.359,.273,.296,.316,.081,82.7,11.2,32.5,1.7,48,18.5,25.2,8.3,28.9,
Pillar, Kevin,607680,2017,28,587,632,150,96,37,1,16,95,33,15.0,5.2,.256,.404,.299,.703,42,15,154,6,72,12,3,,.267,.396,.302,.308,.311,.130,86,12.8,32.9,3.4,44,22.1,24.5,9.4,27.8,
