date,home_team,away_team,home_score,away_score
2015-04-20,Pittsburgh Pirates,Chicago Cubs,5,2
2015-04-20,Seattle Mariners,Houston Astros,7,5
2015-04-21,LA Angels of Anaheim,Oakland Athletics,1,4
2015-04-21,Arizona D'Backs,Texas Rangers,7,1
2015-04-21,Chicago White Sox,Cleveland Indians,6,2
2015-04-21,Colorado Rockies,San Diego Padres,7,6
2015-04-21,Detroit Tigers,New York Yankees,5,2
2015-04-21,Kansas City Royals,Minnesota Twins,5,6
2015-04-21,Milwaukee Brewers,Cincinnati Reds,1,0
2015-04-21,New York Mets,Atlanta Braves,1,7
2015-04-21,Philadelphia Phillies,Miami Marlins,3,7
2015-04-21,Pittsburgh Pirates,Chicago Cubs,9,8
2015-04-21,Seattle Mariners,Houston Astros,6,3
2015-04-21,San Francisco Giants,Los Angeles Dodgers,2,6
2015-04-21,Tampa Bay Rays,Boston Red Sox,1,0
2015-04-21,Toronto Blue Jays,Baltimore Orioles,6,3
2015-04-21,Washington Nationals,St. Louis Cardinals,1,2
2015-04-22,LA Angels of Anaheim,Oakland Athletics,9,2
2015-04-22,Arizona D'Backs,Texas Rangers,5,8
2015-04-22,Chicago White Sox,Cleveland Indians,0,6
2015-04-22,Colorado Rockies,San Diego Padres,4,5
2015-04-22,Detroit Tigers,New York Yankees,1,4
2015-04-22,Kansas City Royals,Minnesota Twins,3,0
2015-04-22,Milwaukee Brewers,Cincinnati Reds,2,1
2015-04-22,New York Mets,Atlanta Braves,2,3
2015-04-22,Philadelphia Phillies,Miami Marlins,6,1
2015-04-22,Pittsburgh Pirates,Chicago Cubs,3,4
2015-04-22,Seattle Mariners,Houston Astros,2,3
2015-04-22,San Francisco Giants,Los Angeles Dodgers,2,3
2015-04-22,Tampa Bay Rays,Boston Red Sox,5,7
2015-04-22,Toronto Blue Jays,Baltimore Orioles,2,4
2015-04-22,Washington Nationals,St. Louis Cardinals,7,5
2015-04-23,LA Angels of Anaheim,Oakland Athletics,0,2
2015-04-23,Chicago White Sox,Kansas City Royals,3,2
2015-04-23,Colorado Rockies,San Diego Padres,1,2
2015-04-23,Detroit Tigers,New York Yankees,2,1
2015-04-23,Milwaukee Brewers,Cincinnati Reds,2,4
2015-04-23,New York Mets,Atlanta Braves,3,6
2015-04-23,Philadelphia Phillies,Miami Marlins,9,1
2015-04-23,Pittsburgh Pirates,Chicago Cubs,4,5
2015-04-23,San Francisco Giants,Los Angeles Dodgers,2,3
2015-04-23,Tampa Bay Rays,Boston Red Sox,1,2
2015-04-23,Toronto Blue Jays,Baltimore Orioles,6,7
2015-04-23,Washington Nationals,St. Louis Cardinals,4,1
2015-04-24,LA Angels of Anaheim,Texas Rangers,2,3
2015-04-24,Arizona D'Backs,Pittsburgh Pirates,4,1
2015-04-24,Baltimore Orioles,Boston Red Sox,7,5
2015-04-24,Chicago White Sox,Kansas City Royals,2,3
2015-04-24,Cincinnati Reds,Chicago Cubs,7,3
2015-04-24,Colorado Rockies,San Francisco Giants,4,6
2015-04-24,Detroit Tigers,Cleveland Indians,1,1
2015-04-24,Miami Marlins,Washington Nationals,2,3
2015-04-24,Milwaukee Brewers,St. Louis Cardinals,3,0
2015-04-24,New York Yankees,New York Mets,1,6
2015-04-24,Oakland Athletics,Houston Astros,5,4
2015-04-24,Philadelphia Phillies,Atlanta Braves,0,1
2015-04-24,San Diego Padres,Los Angeles Dodgers,3,0
2015-04-24,Seattle Mariners,Minnesota Twins,0,2
2015-04-24,Tampa Bay Rays,Toronto Blue Jays,3,2
2015-04-25,LA Angels of Anaheim,Texas Rangers,1,4
2015-04-25,Arizona D'Backs,Pittsburgh Pirates,2,1
2015-04-25,Baltimore Orioles,Boston Red Sox,4,5
2015-04-25,Colorado Rockies,San Francisco Giants,5,4
2015-04-25,Detroit Tigers,Cleveland Indians,1,4
2015-04-25,Miami Marlins,Washington Nationals,0,8
2015-04-25,Milwaukee Brewers,St. Louis Cardinals,5,3
2015-04-25,New York Yankees,New York Mets,8,2
2015-04-25,Oakland Athletics,Houston Astros,9,3
2015-04-25,Philadelphia Phillies,Atlanta Braves,5,2
2015-04-25,San Diego Padres,Los Angeles Dodgers,1,8
2015-04-25,Seattle Mariners,Minnesota Twins,8,5
2015-04-25,Tampa Bay Rays,Toronto Blue Jays,2,4
2015-04-26,LA Angels of Anaheim,Texas Rangers,5,4
2015-04-26,Arizona D'Backs,Pittsburgh Pirates,8,0
2015-04-26,Baltimore Orioles,Boston Red Sox,7,8
2015-04-26,Chicago White Sox,Kansas City Royals,3,5
2015-04-26,Cincinnati Reds,Chicago Cubs,5,2
2015-04-26,Detroit Tigers,Cleveland Indians,6,8
2015-04-26,Miami Marlins,Washington Nationals,2,6
2015-04-26,Milwaukee Brewers,St. Louis Cardinals,3,6
2015-04-26,New York Yankees,New York Mets,4,6
2015-04-26,Oakland Athletics,Houston Astros,7,6
2015-04-26,Philadelphia Phillies,Atlanta Braves,4,5
2015-04-26,San Diego Padres,Los Angeles Dodgers,1,3
2015-04-26,Seattle Mariners,Minnesota Twins,4,2
2015-04-26,Tampa Bay Rays,Toronto Blue Jays,1,5
2015-04-27,Arizona D'Backs,Colorado Rockies,5,4
2015-04-27,Atlanta Braves,Washington Nationals,4,8
2015-04-27,Boston Red Sox,Toronto Blue Jays,5,6
2015-04-27,Chicago Cubs,Pittsburgh Pirates,0,4
2015-04-27,Cincinnati Reds,Milwaukee Brewers,6,9
2015-04-27,Cleveland Indians,Kansas City Royals,6,2
2015-04-27,Los Angeles Dodgers,San Francisco Giants,3,8
2015-04-27,Miami Marlins,New York Mets,3,1
2015-04-27,Minnesota Twins,Detroit Tigers,5,4
2015-04-27,New York Yankees,Tampa Bay Rays,1,4
2015-04-27,San Diego Padres,Houston Astros,9,4
2015-04-27,St. Louis Cardinals,Philadelphia Phillies,4,1
2015-04-27,Texas Rangers,Seattle Mariners,3,1
2015-04-28,Arizona D'Backs,Colorado Rockies,5,2
2015-04-28,Atlanta Braves,Washington Nationals,1,2
2015-04-28,Boston Red Sox,Toronto Blue Jays,1,8
2015-04-28,Chicago Cubs,Pittsburgh Pirates,2,6
2015-04-28,Cincinnati Reds,Milwaukee Brewers,2,4
2015-04-28,Cleveland Indians,Kansas City Royals,1,5
2015-04-28,Los Angeles Dodgers,San Francisco Giants,2,1
2015-04-28,Miami Marlins,New York Mets,3,4
2015-04-28,Minnesota Twins,Detroit Tigers,2,3
2015-04-28,New York Yankees,Tampa Bay Rays,2,4
2015-04-28,Oakland Athletics,LA Angels of Anaheim,2,6
2015-04-28,San Diego Padres,Houston Astros,1,3
2015-04-28,St. Louis Cardinals,Philadelphia Phillies,5,1
2015-04-28,Texas Rangers,Seattle Mariners,2,1
2015-04-29,Arizona D'Backs,Colorado Rockies,1,9
2015-04-29,Atlanta Braves,Washington Nationals,1,4
2015-04-29,Baltimore Orioles,Chicago White Sox,2,8
2015-04-29,Boston Red Sox,Toronto Blue Jays,1,4
2015-04-29,Chicago Cubs,Pittsburgh Pirates,8,1
2015-04-29,Cincinnati Reds,Milwaukee Brewers,8,3
2015-04-29,Cleveland Indians,Kansas City Royals,5,7
2015-04-29,Los Angeles Dodgers,San Francisco Giants,3,7
2015-04-29,Miami Marlins,New York Mets,3,7
2015-04-29,Minnesota Twins,Detroit Tigers,1,7
2015-04-29,New York Yankees,Tampa Bay Rays,3,2
2015-04-29,Oakland Athletics,LA Angels of Anaheim,6,3
2015-04-29,San Diego Padres,Houston Astros,7,2
2015-04-29,St. Louis Cardinals,Philadelphia Phillies,2,5
2015-04-29,Texas Rangers,Seattle Mariners,5,2
2015-04-30,Atlanta Braves,Cincinnati Reds,5,1
2015-04-30,Cleveland Indians,Toronto Blue Jays,5,1
2015-04-30,Houston Astros,Seattle Mariners,2,3
2015-04-30,Kansas City Royals,Detroit Tigers,1,8
2015-04-30,Minnesota Twins,Chicago White Sox,2,2
2015-04-30,New York Mets,Washington Nationals,8,2
2015-04-30,Oakland Athletics,LA Angels of Anaheim,6,5
2015-04-30,St. Louis Cardinals,Philadelphia Phillies,3,9
2015-05-01,Atlanta Braves,Cincinnati Reds,3,4
2015-05-01,Boston Red Sox,New York Yankees,3,2
2015-05-01,Chicago Cubs,Milwaukee Brewers,0,1
2015-05-01,Cleveland Indians,Toronto Blue Jays,4,9
2015-05-01,Houston Astros,Seattle Mariners,3,4
2015-05-01,Kansas City Royals,Detroit Tigers,1,4
2015-05-01,Los Angeles Dodgers,Arizona D'Backs,0,8
2015-05-01,Miami Marlins,Philadelphia Phillies,3,4
2015-05-01,Minnesota Twins,Chicago White Sox,0,1
2015-05-01,New York Mets,Washington Nationals,0,4
2015-05-01,San Diego Padres,Colorado Rockies,3,4
2015-05-01,San Francisco Giants,LA Angels of Anaheim,2,3
2015-05-01,St. Louis Cardinals,Pittsburgh Pirates,1,2
2015-05-01,Tampa Bay Rays,Baltimore Orioles,0,2
2015-05-01,Texas Rangers,Oakland Athletics,7,5
2015-05-02,Atlanta Braves,Cincinnati Reds,8,4
2015-05-02,Boston Red Sox,New York Yankees,4,2
2015-05-02,Chicago Cubs,Milwaukee Brewers,6,1
2015-05-02,Cleveland Indians,Toronto Blue Jays,1,4
2015-05-02,Houston Astros,Seattle Mariners,4,1
2015-05-02,Kansas City Royals,Detroit Tigers,2,1
2015-05-02,Los Angeles Dodgers,Arizona D'Backs,4,6
2015-05-02,Miami Marlins,Philadelphia Phillies,0,7
2015-05-02,Minnesota Twins,Chicago White Sox,3,5
2015-05-02,New York Mets,Washington Nationals,1,0
2015-05-02,San Diego Padres,Colorado Rockies,2,4
2015-05-02,San Francisco Giants,LA Angels of Anaheim,4,5
2015-05-02,St. Louis Cardinals,Pittsburgh Pirates,1,2
2015-05-02,Tampa Bay Rays,Baltimore Orioles,4,0
2015-05-02,Texas Rangers,Oakland Athletics,7,8
2015-05-03,Atlanta Braves,Cincinnati Reds,0,5
2015-05-03,Boston Red Sox,New York Yankees,8,5
2015-05-03,Chicago Cubs,Milwaukee Brewers,5,3
2015-05-03,Cleveland Indians,Toronto Blue Jays,7,0
2015-05-03,Houston Astros,Seattle Mariners,6,7
2015-05-03,Kansas City Royals,Detroit Tigers,6,4
2015-05-03,Los Angeles Dodgers,Arizona D'Backs,0,1
2015-05-03,Miami Marlins,Philadelphia Phillies,6,2
2015-05-03,Minnesota Twins,Chicago White Sox,3,3
2015-05-03,New York Mets,Washington Nationals,1,0
2015-05-03,San Diego Padres,Colorado Rockies,6,8
2015-05-03,San Francisco Giants,LA Angels of Anaheim,0,5
2015-05-03,St. Louis Cardinals,Pittsburgh Pirates,2,3
2015-05-03,Tampa Bay Rays,Baltimore Orioles,4,2
2015-05-03,Texas Rangers,Oakland Athletics,7,1
2015-05-04,LA Angels of Anaheim,Seattle Mariners,3,2
2015-05-04,Atlanta Braves,Philadelphia Phillies,5,2
2015-05-04,Boston Red Sox,Tampa Bay Rays,5,1
2015-05-04,Houston Astros,Texas Rangers,2,1
2015-05-04,Milwaukee Brewers,Los Angeles Dodgers,3,4
2015-05-04,Minnesota Twins,Oakland Athletics,7,8
2015-05-04,San Francisco Giants,San Diego Padres,0,2
2015-05-04,St. Louis Cardinals,Chicago Cubs,9,0
2015-05-04,Toronto Blue Jays,New York Yankees,1,3
2015-05-04,Washington Nationals,Miami Marlins,4,6
2015-05-05,LA Angels of Anaheim,Seattle Mariners,4,5
2015-05-05,Atlanta Braves,Philadelphia Phillies,0,9
2015-05-05,Boston Red Sox,Tampa Bay Rays,0,2
2015-05-05,Chicago White Sox,Detroit Tigers,2,5
2015-05-05,Houston Astros,Texas Rangers,7,1
2015-05-05,Kansas City Royals,Cleveland Indians,3,5
2015-05-05,Milwaukee Brewers,Los Angeles Dodgers,8,2
2015-05-05,Minnesota Twins,Oakland Athletics,2,1
2015-05-05,New York Mets,Baltimore Orioles,2,3
2015-05-05,Pittsburgh Pirates,Cincinnati Reds,7,1
2015-05-05,San Francisco Giants,San Diego Padres,0,6
2015-05-05,St. Louis Cardinals,Chicago Cubs,4,7
2015-05-05,Toronto Blue Jays,New York Yankees,6,3
2015-05-05,Washington Nationals,Miami Marlins,2,1
2015-05-06,LA Angels of Anaheim,Seattle Mariners,3,4
2015-05-06,Atlanta Braves,Philadelphia Phillies,5,7
2015-05-06,Boston Red Sox,Tampa Bay Rays,5,3
2015-05-06,Chicago White Sox,Detroit Tigers,6,7
2015-05-06,Colorado Rockies,Arizona D'Backs,1,7
2015-05-06,Colorado Rockies,Arizona D'Backs,5,1
2015-05-06,Houston Astros,Texas Rangers,1,3
2015-05-06,Kansas City Royals,Cleveland Indians,1,3
2015-05-06,Milwaukee Brewers,Los Angeles Dodgers,3,6
2015-05-06,Minnesota Twins,Oakland Athletics,0,3
2015-05-06,New York Mets,Baltimore Orioles,1,5
2015-05-06,Pittsburgh Pirates,Cincinnati Reds,3,0
2015-05-06,San Francisco Giants,San Diego Padres,9,1
2015-05-06,St. Louis Cardinals,Chicago Cubs,6,5
2015-05-06,Toronto Blue Jays,New York Yankees,1,5
2015-05-06,Washington Nationals,Miami Marlins,5,7
2015-05-07,LA Angels of Anaheim,Houston Astros,3,2
2015-05-07,Arizona D'Backs,San Diego Padres,0,1
2015-05-07,Chicago White Sox,Detroit Tigers,4,1
2015-05-07,Kansas City Royals,Cleveland Indians,4,7
2015-05-07,Milwaukee Brewers,Los Angeles Dodgers,1,4
2015-05-07,Minnesota Twins,Oakland Athletics,5,6
2015-05-07,New York Yankees,Baltimore Orioles,3,4
2015-05-07,Pittsburgh Pirates,Cincinnati Reds,2,7
2015-05-07,San Francisco Giants,Miami Marlins,7,2
2015-05-07,St. Louis Cardinals,Chicago Cubs,1,5
2015-05-07,Tampa Bay Rays,Texas Rangers,5,4
2015-05-08,LA Angels of Anaheim,Houston Astros,0,2
2015-05-08,Arizona D'Backs,San Diego Padres,6,5
2015-05-08,Cleveland Indians,Minnesota Twins,9,3
2015-05-08,Colorado Rockies,Los Angeles Dodgers,2,1
2015-05-08,Detroit Tigers,Kansas City Royals,5,6
2015-05-08,Milwaukee Brewers,Chicago Cubs,7,6
2015-05-08,New York Yankees,Baltimore Orioles,4,5
2015-05-08,Philadelphia Phillies,New York Mets,1,3
2015-05-08,Pittsburgh Pirates,St. Louis Cardinals,8,5
2015-05-08,Seattle Mariners,Oakland Athletics,3,4
2015-05-08,San Francisco Giants,Miami Marlins,0,6
2015-05-08,Tampa Bay Rays,Texas Rangers,2,8
2015-05-08,Toronto Blue Jays,Boston Red Sox,0,7
2015-05-08,Washington Nationals,Atlanta Braves,2,9
2015-05-09,LA Angels of Anaheim,Houston Astros,6,5
2015-05-09,Arizona D'Backs,San Diego Padres,6,4
2015-05-09,Chicago White Sox,Cincinnati Reds,1,4
2015-05-09,Chicago White Sox,Cincinnati Reds,2,8
2015-05-09,Cleveland Indians,Minnesota Twins,7,4
2015-05-09,Detroit Tigers,Kansas City Royals,6,2
2015-05-09,Milwaukee Brewers,Chicago Cubs,4,2
2015-05-09,New York Yankees,Baltimore Orioles,6,2
2015-05-09,Philadelphia Phillies,New York Mets,3,2
2015-05-09,Pittsburgh Pirates,St. Louis Cardinals,5,7
2015-05-09,Seattle Mariners,Oakland Athletics,2,7
2015-05-09,San Francisco Giants,Miami Marlins,6,2
2015-05-09,Tampa Bay Rays,Texas Rangers,2,7
2015-05-09,Toronto Blue Jays,Boston Red Sox,1,7
2015-05-09,Washington Nationals,Atlanta Braves,6,8
2015-05-10,LA Angels of Anaheim,Houston Astros,1,3
2015-05-10,Arizona D'Backs,San Diego Padres,1,2
2015-05-10,Chicago White Sox,Cincinnati Reds,3,4
2015-05-10,Cleveland Indians,Minnesota Twins,2,8
2015-05-10,Colorado Rockies,Los Angeles Dodgers,9,5
2015-05-10,Detroit Tigers,Kansas City Royals,2,1
2015-05-10,Milwaukee Brewers,Chicago Cubs,2,3
2015-05-10,New York Yankees,Baltimore Orioles,2,6
2015-05-10,Philadelphia Phillies,New York Mets,7,4
2015-05-10,Pittsburgh Pirates,St. Louis Cardinals,3,4
2015-05-10,Seattle Mariners,Oakland Athletics,3,4
2015-05-10,San Francisco Giants,Miami Marlins,2,3
2015-05-10,Tampa Bay Rays,Texas Rangers,2,1
2015-05-10,Toronto Blue Jays,Boston Red Sox,6,3
2015-05-10,Washington Nationals,Atlanta Braves,4,5
2015-05-11,Arizona D'Backs,Washington Nationals,1,1
2015-05-11,Baltimore Orioles,Toronto Blue Jays,2,5
