date,home_team,away_team,home_score,away_score
2017-08-25,St. Louis Cardinals,Tampa Bay Rays,7,3
2017-08-25,Toronto Blue Jays,Minnesota Twins,6,1
2017-08-25,Washington Nationals,New York Mets,4,2
2017-08-26,Los Angeles Angels,Houston Astros,6,7
2017-08-26,Arizona D'Backs,San Francisco Giants,1,2
2017-08-26,Atlanta Braves,Colorado Rockies,7,6
2017-08-26,Boston Red Sox,Baltimore Orioles,7,0
2017-08-26,Chicago White Sox,Detroit Tigers,6,3
2017-08-26,Cincinnati Reds,Pittsburgh Pirates,1,0
2017-08-26,Cleveland Indians,Kansas City Royals,0,4
2017-08-26,Los Angeles Dodgers,Milwaukee Brewers,3,0
2017-08-26,Miami Marlins,San Diego Padres,1,2
2017-08-26,New York Yankees,Seattle Mariners,3,6
2017-08-26,Oakland Athletics,Texas Rangers,3,8
2017-08-26,Philadelphia Phillies,Chicago Cubs,1,2
2017-08-26,St. Louis Cardinals,Tampa Bay Rays,4,6
2017-08-26,Toronto Blue Jays,Minnesota Twins,9,0
2017-08-26,Washington Nationals,New York Mets,4,9
2017-08-27,Los Angeles Angels,Houston Astros,7,5
2017-08-27,Arizona D'Backs,San Francisco Giants,0,1
2017-08-27,Atlanta Braves,Colorado Rockies,3,0
2017-08-27,Boston Red Sox,Baltimore Orioles,2,1
2017-08-27,Chicago White Sox,Detroit Tigers,1,7
2017-08-27,Cincinnati Reds,Pittsburgh Pirates,5,2
2017-08-27,Cleveland Indians,Kansas City Royals,0,2
2017-08-27,Los Angeles Dodgers,Milwaukee Brewers,3,2
2017-08-27,Miami Marlins,San Diego Padres,2,6
2017-08-27,New York Yankees,Seattle Mariners,1,0
2017-08-27,Oakland Athletics,Texas Rangers,3,8
2017-08-27,Philadelphia Phillies,Chicago Cubs,3,6
2017-08-27,St. Louis Cardinals,Tampa Bay Rays,3,2
2017-08-27,Toronto Blue Jays,Minnesota Twins,7,2
2017-08-27,Washington Nationals,New York Mets,6,5
2017-08-27,Washington Nationals,New York Mets,4,5
2017-08-28,Los Angeles Angels,Oakland Athletics,1,3
2017-08-28,Baltimore Orioles,Seattle Mariners,6,7
2017-08-28,Chicago Cubs,Pittsburgh Pirates,1,6
2017-08-28,Colorado Rockies,Detroit Tigers,4,3
2017-08-28,Kansas City Royals,Tampa Bay Rays,1,0
2017-08-28,New York Yankees,Cleveland Indians,6,2
2017-08-28,Philadelphia Phillies,Atlanta Braves,1,6
2017-08-28,San Diego Padres,San Francisco Giants,3,0
2017-08-28,Toronto Blue Jays,Boston Red Sox,6,5
2017-08-28,Washington Nationals,Miami Marlins,2,1
2017-08-29,Los Angeles Angels,Oakland Athletics,2,8
2017-08-29,Arizona D'Backs,Los Angeles Dodgers,6,7
2017-08-29,Baltimore Orioles,Seattle Mariners,0,4
2017-08-29,Chicago Cubs,Pittsburgh Pirates,1,4
2017-08-29,Cincinnati Reds,New York Mets,4,4
2017-08-29,Colorado Rockies,Detroit Tigers,3,7
2017-08-29,Houston Astros,Texas Rangers,1,2
2017-08-29,Kansas City Royals,Tampa Bay Rays,2,6
2017-08-29,Milwaukee Brewers,St. Louis Cardinals,1,2
2017-08-29,Minnesota Twins,Chicago White Sox,4,6
2017-08-29,San Diego Padres,San Francisco Giants,3,6
2017-08-29,Toronto Blue Jays,Boston Red Sox,3,0
2017-08-29,Washington Nationals,Miami Marlins,3,8
2017-08-30,Los Angeles Angels,Oakland Athletics,8,0
2017-08-30,Arizona D'Backs,Los Angeles Dodgers,4,6
2017-08-30,Baltimore Orioles,Seattle Mariners,7,8
2017-08-30,Chicago Cubs,Pittsburgh Pirates,3,7
2017-08-30,Cincinnati Reds,New York Mets,2,0
2017-08-30,Colorado Rockies,Detroit Tigers,6,2
2017-08-30,Houston Astros,Texas Rangers,8,1
2017-08-30,Kansas City Royals,Tampa Bay Rays,5,3
2017-08-30,Milwaukee Brewers,St. Louis Cardinals,5,6
2017-08-30,Minnesota Twins,Chicago White Sox,1,1
2017-08-30,New York Yankees,Cleveland Indians,2,1
2017-08-30,New York Yankees,Cleveland Indians,9,4
2017-08-30,Philadelphia Phillies,Atlanta Braves,9,1
2017-08-30,Philadelphia Phillies,Atlanta Braves,5,2
2017-08-30,San Diego Padres,San Francisco Giants,0,5
2017-08-30,Toronto Blue Jays,Boston Red Sox,7,1
2017-08-30,Washington Nationals,Miami Marlins,0,4
2017-08-31,Arizona D'Backs,Los Angeles Dodgers,1,8
2017-08-31,Baltimore Orioles,Toronto Blue Jays,1,8
2017-08-31,Chicago Cubs,Atlanta Braves,2,6
2017-08-31,Cincinnati Reds,New York Mets,2,7
2017-08-31,Houston Astros,Texas Rangers,1,5
2017-08-31,Miami Marlins,Philadelphia Phillies,3,2
2017-08-31,Milwaukee Brewers,Washington Nationals,3,6
2017-08-31,Minnesota Twins,Chicago White Sox,4,5
2017-08-31,New York Yankees,Boston Red Sox,2,6
2017-08-31,San Francisco Giants,St. Louis Cardinals,5,2
2017-09-01,Baltimore Orioles,Toronto Blue Jays,0,1
2017-09-01,Chicago White Sox,Tampa Bay Rays,3,1
2017-09-01,Chicago Cubs,Atlanta Braves,0,2
2017-09-01,Colorado Rockies,Arizona D'Backs,9,5
2017-09-01,Detroit Tigers,Cleveland Indians,3,2
2017-09-01,Detroit Tigers,Cleveland Indians,1,0
2017-09-01,Miami Marlins,Philadelphia Phillies,2,1
2017-09-01,Milwaukee Brewers,Washington Nationals,0,1
2017-09-01,Minnesota Twins,Kansas City Royals,7,6
2017-09-01,New York Yankees,Boston Red Sox,4,1
2017-09-01,Pittsburgh Pirates,Cincinnati Reds,7,3
2017-09-01,San Diego Padres,Los Angeles Dodgers,1,0
2017-09-01,Seattle Mariners,Oakland Athletics,2,3
2017-09-01,San Francisco Giants,St. Louis Cardinals,1,6
2017-09-01,Texas Rangers,Los Angeles Angels,9,0
2017-09-02,Baltimore Orioles,Toronto Blue Jays,7,2
2017-09-02,Chicago White Sox,Tampa Bay Rays,4,5
2017-09-02,Chicago Cubs,Atlanta Braves,1,4
2017-09-02,Colorado Rockies,Arizona D'Backs,6,2
2017-09-02,Detroit Tigers,Cleveland Indians,5,2
2017-09-02,Houston Astros,New York Mets,8,2
2017-09-02,Houston Astros,New York Mets,1,4
2017-09-02,Miami Marlins,Philadelphia Phillies,9,0
2017-09-02,Milwaukee Brewers,Washington Nationals,3,2
2017-09-02,Minnesota Twins,Kansas City Royals,0,7
2017-09-02,New York Yankees,Boston Red Sox,1,5
2017-09-02,Pittsburgh Pirates,Cincinnati Reds,0,5
2017-09-02,San Diego Padres,Los Angeles Dodgers,5,6
2017-09-02,San Diego Padres,Los Angeles Dodgers,2,7
2017-09-02,Seattle Mariners,Oakland Athletics,6,7
2017-09-02,San Francisco Giants,St. Louis Cardinals,1,2
2017-09-02,Texas Rangers,Los Angeles Angels,7,4
2017-09-03,Baltimore Orioles,Toronto Blue Jays,4,5
2017-09-03,Chicago White Sox,Tampa Bay Rays,2,6
2017-09-03,Chicago Cubs,Atlanta Braves,5,1
2017-09-03,Colorado Rockies,Arizona D'Backs,5,1
2017-09-03,Detroit Tigers,Cleveland Indians,1,1
2017-09-03,Houston Astros,New York Mets,6,8
2017-09-03,Miami Marlins,Philadelphia Phillies,3,1
2017-09-03,Milwaukee Brewers,Washington Nationals,2,7
2017-09-03,Minnesota Twins,Kansas City Royals,5,4
2017-09-03,New York Yankees,Boston Red Sox,2,9
2017-09-03,Pittsburgh Pirates,Cincinnati Reds,1,3
2017-09-03,San Diego Padres,Los Angeles Dodgers,4,6
2017-09-03,Seattle Mariners,Oakland Athletics,2,0
2017-09-03,San Francisco Giants,St. Louis Cardinals,7,3
2017-09-03,Texas Rangers,Los Angeles Angels,6,7
2017-09-04,Atlanta Braves,Texas Rangers,8,2
2017-09-04,Baltimore Orioles,New York Yankees,7,4
2017-09-04,Boston Red Sox,Toronto Blue Jays,1,4
2017-09-04,Chicago White Sox,Cleveland Indians,5,3
2017-09-04,Cincinnati Reds,Milwaukee Brewers,4,5
2017-09-04,Colorado Rockies,San Francisco Giants,3,4
2017-09-04,Detroit Tigers,Kansas City Royals,7,6
2017-09-04,Los Angeles Dodgers,Arizona D'Backs,1,0
2017-09-04,Miami Marlins,Washington Nationals,7,2
2017-09-04,New York Mets,Philadelphia Phillies,7,1
2017-09-04,Oakland Athletics,Los Angeles Angels,1,9
2017-09-04,Pittsburgh Pirates,Chicago Cubs,0,2
2017-09-04,San Diego Padres,St. Louis Cardinals,2,0
2017-09-04,Seattle Mariners,Houston Astros,6,2
2017-09-04,Tampa Bay Rays,Minnesota Twins,4,1
2017-09-05,Baltimore Orioles,New York Yankees,6,7
2017-09-05,Boston Red Sox,Toronto Blue Jays,2,3
2017-09-05,Chicago White Sox,Cleveland Indians,9,4
2017-09-05,Cincinnati Reds,Milwaukee Brewers,3,9
2017-09-05,Colorado Rockies,San Francisco Giants,6,9
2017-09-05,Detroit Tigers,Kansas City Royals,2,3
2017-09-05,Los Angeles Dodgers,Arizona D'Backs,3,1
2017-09-05,Miami Marlins,Washington Nationals,2,1
2017-09-05,New York Mets,Philadelphia Phillies,9,1
2017-09-05,Oakland Athletics,Los Angeles Angels,8,7
2017-09-05,Pittsburgh Pirates,Chicago Cubs,3,4
2017-09-05,San Diego Padres,St. Louis Cardinals,8,4
2017-09-05,Seattle Mariners,Houston Astros,3,1
2017-09-05,Tampa Bay Rays,Minnesota Twins,1,2
2017-09-06,Atlanta Braves,Texas Rangers,1,8
2017-09-06,Atlanta Braves,Texas Rangers,4,5
2017-09-06,Boston Red Sox,Toronto Blue Jays,1,6
2017-09-06,Chicago White Sox,Cleveland Indians,5,1
2017-09-06,Cincinnati Reds,Milwaukee Brewers,1,7
2017-09-06,Colorado Rockies,San Francisco Giants,1,3
2017-09-06,Detroit Tigers,Kansas City Royals,1,2
2017-09-06,Los Angeles Dodgers,Arizona D'Backs,3,1
2017-09-06,Miami Marlins,Washington Nationals,8,1
2017-09-06,New York Mets,Philadelphia Phillies,3,6
2017-09-06,Oakland Athletics,Los Angeles Angels,1,3
2017-09-06,Pittsburgh Pirates,Chicago Cubs,1,0
2017-09-06,San Diego Padres,St. Louis Cardinals,3,1
2017-09-06,Seattle Mariners,Houston Astros,5,3
2017-09-06,Tampa Bay Rays,Minnesota Twins,1,6
2017-09-07,Atlanta Braves,Miami Marlins,5,6
2017-09-07,Baltimore Orioles,New York Yankees,9,1
2017-09-07,Chicago White Sox,Cleveland Indians,1,2
2017-09-07,Kansas City Royals,Minnesota Twins,4,2
2017-09-07,Los Angeles Dodgers,Colorado Rockies,9,1
2017-09-07,New York Mets,Cincinnati Reds,2,7
2017-09-07,Pittsburgh Pirates,Chicago Cubs,8,2
2017-09-07,San Diego Padres,St. Louis Cardinals,0,3
2017-09-07,Washington Nationals,Philadelphia Phillies,3,4
2017-09-08,Arizona D'Backs,San Diego Padres,1,6
2017-09-08,Atlanta Braves,Miami Marlins,7,1
2017-09-08,Boston Red Sox,Tampa Bay Rays,3,9
2017-09-08,Chicago White Sox,San Francisco Giants,9,2
2017-09-08,Chicago Cubs,Milwaukee Brewers,2,0
2017-09-08,Cleveland Indians,Baltimore Orioles,0,5
2017-09-08,Kansas City Royals,Minnesota Twins,8,5
2017-09-08,Los Angeles Dodgers,Colorado Rockies,5,4
2017-09-08,New York Mets,Cincinnati Reds,1,5
2017-09-08,Oakland Athletics,Houston Astros,8,9
2017-09-08,Seattle Mariners,Los Angeles Angels,3,4
2017-09-08,St. Louis Cardinals,Pittsburgh Pirates,1,4
2017-09-08,Texas Rangers,New York Yankees,5,1
2017-09-08,Toronto Blue Jays,Detroit Tigers,5,4
2017-09-08,Washington Nationals,Philadelphia Phillies,1,1
2017-09-09,Arizona D'Backs,San Diego Padres,8,7
2017-09-09,Atlanta Braves,Miami Marlins,5,6
2017-09-09,Boston Red Sox,Tampa Bay Rays,0,9
2017-09-09,Chicago White Sox,San Francisco Giants,1,3
2017-09-09,Chicago Cubs,Milwaukee Brewers,1,2
2017-09-09,Cleveland Indians,Baltimore Orioles,2,4
2017-09-09,Kansas City Royals,Minnesota Twins,2,5
2017-09-09,Los Angeles Dodgers,Colorado Rockies,6,5
2017-09-09,New York Mets,Cincinnati Reds,1,6
2017-09-09,Oakland Athletics,Houston Astros,1,1
2017-09-09,Oakland Athletics,Houston Astros,4,1
2017-09-09,Seattle Mariners,Los Angeles Angels,1,8
2017-09-09,St. Louis Cardinals,Pittsburgh Pirates,3,4
2017-09-09,Texas Rangers,New York Yankees,3,1
2017-09-09,Toronto Blue Jays,Detroit Tigers,4,5
2017-09-09,Washington Nationals,Philadelphia Phillies,5,4
2017-09-10,Arizona D'Backs,San Diego Padres,2,3
2017-09-10,Atlanta Braves,Miami Marlins,8,0
2017-09-10,Boston Red Sox,Tampa Bay Rays,4,1
2017-09-10,Chicago White Sox,San Francisco Giants,1,8
2017-09-10,Chicago Cubs,Milwaukee Brewers,3,1
2017-09-10,Cleveland Indians,Baltimore Orioles,2,3
2017-09-10,Kansas City Royals,Minnesota Twins,3,1
2017-09-10,Los Angeles Dodgers,Colorado Rockies,8,1
2017-09-10,New York Mets,Cincinnati Reds,1,5
2017-09-10,Oakland Athletics,Houston Astros,2,0
2017-09-10,Seattle Mariners,Los Angeles Angels,5,3
2017-09-10,St. Louis Cardinals,Pittsburgh Pirates,0,7
2017-09-10,Texas Rangers,New York Yankees,1,7
2017-09-10,Toronto Blue Jays,Detroit Tigers,2,8
2017-09-10,Washington Nationals,Philadelphia Phillies,2,3
2017-09-11,Arizona D'Backs,Colorado Rockies,5,4
2017-09-11,Cleveland Indians,Detroit Tigers,0,1
2017-09-11,Kansas City Royals,Chicago White Sox,1,3
2017-09-11,Milwaukee Brewers,Pittsburgh Pirates,7,0
2017-09-11,San Francisco Giants,Los Angeles Dodgers,6,8
2017-09-11,Tampa Bay Rays,New York Yankees,5,1
2017-09-11,Texas Rangers,Seattle Mariners,3,5
2017-09-11,Toronto Blue Jays,Baltimore Orioles,3,4
2017-09-12,Los Angeles Angels,Houston Astros,1,0
2017-09-12,Arizona D'Backs,Colorado Rockies,4,2
2017-09-12,Boston Red Sox,Oakland Athletics,1,1
2017-09-12,Chicago Cubs,New York Mets,3,8
2017-09-12,Cleveland Indians,Detroit Tigers,0,2
2017-09-12,Kansas City Royals,Chicago White Sox,3,4
2017-09-12,Milwaukee Brewers,Pittsburgh Pirates,2,5
2017-09-12,Minnesota Twins,San Diego Padres,0,6
2017-09-12,Philadelphia Phillies,Miami Marlins,8,9
2017-09-12,San Francisco Giants,Los Angeles Dodgers,5,3
2017-09-12,St. Louis Cardinals,Cincinnati Reds,4,3
2017-09-12,Tampa Bay Rays,New York Yankees,1,2
2017-09-12,Texas Rangers,Seattle Mariners,1,3
2017-09-12,Toronto Blue Jays,Baltimore Orioles,2,3
2017-09-12,Washington Nationals,Atlanta Braves,8,0
2017-09-13,Los Angeles Angels,Houston Astros,1,9
2017-09-13,Arizona D'Backs,Colorado Rockies,2,8
2017-09-13,Boston Red Sox,Oakland Athletics,7,3
2017-09-13,Chicago Cubs,New York Mets,5,7
2017-09-13,Cleveland Indians,Detroit Tigers,3,5
2017-09-13,Kansas City Royals,Chicago White Sox,5,3
2017-09-13,Milwaukee Brewers,Pittsburgh Pirates,2,8
2017-09-13,Minnesota Twins,San Diego Padres,1,3
2017-09-13,Philadelphia Phillies,Miami Marlins,1,8
2017-09-13,San Francisco Giants,Los Angeles Dodgers,4,1
2017-09-13,St. Louis Cardinals,Cincinnati Reds,6,0
2017-09-13,Tampa Bay Rays,New York Yankees,3,2
2017-09-13,Texas Rangers,Seattle Mariners,8,1
2017-09-13,Toronto Blue Jays,Baltimore Orioles,2,1
2017-09-13,Washington Nationals,Atlanta Braves,8,2
2017-09-14,Los Angeles Angels,Houston Astros,5,2
2017-09-14,Arizona D'Backs,Colorado Rockies,0,7
2017-09-14,Boston Red Sox,Oakland Athletics,2,6
2017-09-14,Chicago Cubs,New York Mets,6,4
2017-09-14,Cleveland Indians,Kansas City Royals,2,3
2017-09-14,Detroit Tigers,Chicago White Sox,1,7
2017-09-14,Minnesota Twins,Toronto Blue Jays,2,3
2017-09-14,New York Yankees,Baltimore Orioles,5,3
2017-09-14,Philadelphia Phillies,Miami Marlins,0,0
2017-09-14,St. Louis Cardinals,Cincinnati Reds,2,5
2017-09-14,Texas Rangers,Seattle Mariners,1,4
2017-09-14,Washington Nationals,Atlanta Braves,2,5
2017-09-15,Los Angeles Angels,Texas Rangers,6,7
2017-09-15,Atlanta Braves,New York Mets,2,3
2017-09-15,Chicago Cubs,St. Louis Cardinals,2,8
2017-09-15,Cincinnati Reds,Pittsburgh Pirates,2,4
2017-09-15,Cleveland Indians,Kansas City Royals,4,3
2017-09-15,Colorado Rockies,San Diego Padres,1,6
2017-09-15,Detroit Tigers,Chicago White Sox,2,3
2017-09-15,Houston Astros,Seattle Mariners,2,5
2017-09-15,Milwaukee Brewers,Miami Marlins,2,0
2017-09-15,Minnesota Twins,Toronto Blue Jays,4,3
2017-09-15,New York Yankees,Baltimore Orioles,2,8
2017-09-15,Philadelphia Phillies,Oakland Athletics,4,0
2017-09-15,San Francisco Giants,Arizona D'Backs,3,2
2017-09-15,Tampa Bay Rays,Boston Red Sox,1,6
2017-09-15,Washington Nationals,Los Angeles Dodgers,7,0
2017-09-16,Los Angeles Angels,Texas Rangers,0,2
2017-09-16,Atlanta Braves,New York Mets,7,3
2017-09-16,Chicago Cubs,St. Louis Cardinals,1,4
2017-09-16,Cincinnati Reds,Pittsburgh Pirates,1,2
2017-09-16,Cleveland Indians,Kansas City Royals,4,8
2017-09-16,Colorado Rockies,San Diego Padres,0,6
2017-09-16,Detroit Tigers,Chicago White Sox,1,4
2017-09-16,Houston Astros,Seattle Mariners,6,8
2017-09-16,Milwaukee Brewers,Miami Marlins,7,4
2017-09-16,Minnesota Twins,Toronto Blue Jays,7,2
2017-09-16,New York Yankees,Baltimore Orioles,3,9
2017-09-16,Philadelphia Phillies,Oakland Athletics,3,5
2017-09-16,San Francisco Giants,Arizona D'Backs,2,0
2017-09-16,Tampa Bay Rays,Boston Red Sox,3,1
2017-09-16,Washington Nationals,Los Angeles Dodgers,3,2
2017-09-17,Los Angeles Angels,Texas Rangers,4,2
2017-09-17,Atlanta Braves,New York Mets,5,1
2017-09-17,Chicago Cubs,St. Louis Cardinals,3,4
2017-09-17,Cincinnati Reds,Pittsburgh Pirates,2,5
2017-09-17,Cleveland Indians,Kansas City Royals,2,3
2017-09-17,Colorado Rockies,San Diego Padres,4,3
2017-09-17,Detroit Tigers,Chicago White Sox,0,2
2017-09-17,Houston Astros,Seattle Mariners,1,7
2017-09-17,Milwaukee Brewers,Miami Marlins,3,0
2017-09-17,Minnesota Twins,Toronto Blue Jays,7,3
2017-09-17,New York Yankees,Baltimore Orioles,6,4
2017-09-17,Philadelphia Phillies,Oakland Athletics,6,3
2017-09-17,San Francisco Giants,Arizona D'Backs,2,7
2017-09-17,Tampa Bay Rays,Boston Red Sox,2,3
2017-09-17,Washington Nationals,Los Angeles Dodgers,1,7
2017-09-18,Baltimore Orioles,Boston Red Sox,1,8
2017-09-18,Detroit Tigers,Oakland Athletics,8,3
2017-09-18,Miami Marlins,New York Mets,1,3
2017-09-18,New York Yankees,Minnesota Twins,1,2
2017-09-18,Philadelphia Phillies,Los Angeles Dodgers,3,4
2017-09-18,Pittsburgh Pirates,Milwaukee Brewers,3,0
2017-09-18,San Diego Padres,Arizona D'Backs,2,4
2017-09-19,Los Angeles Angels,Cleveland Indians,6,3
2017-09-19,Atlanta Braves,Washington Nationals,4,2
2017-09-19,Baltimore Orioles,Boston Red Sox,1,0
2017-09-19,Cincinnati Reds,St. Louis Cardinals,8,7
2017-09-19,Detroit Tigers,Oakland Athletics,9,8
2017-09-19,Houston Astros,Chicago White Sox,1,3
2017-09-19,Miami Marlins,New York Mets,4,5
2017-09-19,New York Yankees,Minnesota Twins,2,5
2017-09-19,Philadelphia Phillies,Los Angeles Dodgers,2,6
2017-09-19,Pittsburgh Pirates,Milwaukee Brewers,1,0
2017-09-19,San Diego Padres,Arizona D'Backs,2,6
2017-09-19,Seattle Mariners,Texas Rangers,3,1
2017-09-19,San Francisco Giants,Colorado Rockies,3,4
2017-09-19,Tampa Bay Rays,Chicago Cubs,2,1
2017-09-19,Toronto Blue Jays,Kansas City Royals,2,5
2017-09-20,Los Angeles Angels,Cleveland Indians,6,5
2017-09-20,Atlanta Braves,Washington Nationals,7,3
2017-09-20,Baltimore Orioles,Boston Red Sox,9,0
2017-09-20,Cincinnati Reds,St. Louis Cardinals,9,2
2017-09-20,Detroit Tigers,Oakland Athletics,3,2
2017-09-20,Houston Astros,Chicago White Sox,3,4
2017-09-20,Miami Marlins,New York Mets,2,9
2017-09-20,New York Yankees,Minnesota Twins,3,1
2017-09-20,Philadelphia Phillies,Los Angeles Dodgers,5,7
2017-09-20,Pittsburgh Pirates,Milwaukee Brewers,4,6
2017-09-20,San Diego Padres,Arizona D'Backs,1,7
2017-09-20,Seattle Mariners,Texas Rangers,8,6
2017-09-20,San Francisco Giants,Colorado Rockies,0,4
2017-09-20,Tampa Bay Rays,Chicago Cubs,1,8
2017-09-20,Toronto Blue Jays,Kansas City Royals,1,5
2017-09-21,Los Angeles Angels,Cleveland Indians,4,1
2017-09-21,Atlanta Braves,Washington Nationals,2,3
2017-09-21,Baltimore Orioles,Tampa Bay Rays,1,3
2017-09-21,Cincinnati Reds,St. Louis Cardinals,8,5
2017-09-21,Detroit Tigers,Minnesota Twins,1,1
2017-09-21,Houston Astros,Chicago White Sox,3,1
2017-09-21,Milwaukee Brewers,Chicago Cubs,5,3
2017-09-21,Philadelphia Phillies,Los Angeles Dodgers,5,4
2017-09-21,San Diego Padres,Colorado Rockies,0,3
2017-09-21,Seattle Mariners,Texas Rangers,4,2
2017-09-21,Toronto Blue Jays,Kansas City Royals,1,0
2017-09-22,Arizona D'Backs,Miami Marlins,1,3
2017-09-22,Atlanta Braves,Philadelphia Phillies,2,7
2017-09-22,Baltimore Orioles,Tampa Bay Rays,8,3
2017-09-22,Chicago White Sox,Kansas City Royals,6,7
2017-09-22,Cincinnati Reds,Boston Red Sox,5,4
2017-09-22,Detroit Tigers,Minnesota Twins,7,3
2017-09-22,Houston Astros,Los Angeles Angels,0,3
2017-09-22,Los Angeles Dodgers,San Francisco Giants,2,4
2017-09-22,Milwaukee Brewers,Chicago Cubs,5,4
2017-09-22,New York Mets,Washington Nationals,6,7
2017-09-22,Oakland Athletics,Texas Rangers,1,4
2017-09-22,Pittsburgh Pirates,St. Louis Cardinals,4,3
2017-09-22,San Diego Padres,Colorado Rockies,4,1
2017-09-22,Seattle Mariners,Cleveland Indians,1,3
2017-09-22,Toronto Blue Jays,New York Yankees,1,8
2017-09-23,Arizona D'Backs,Miami Marlins,1,6
2017-09-23,Atlanta Braves,Philadelphia Phillies,2,4
2017-09-23,Baltimore Orioles,Tampa Bay Rays,9,6
2017-09-23,Chicago White Sox,Kansas City Royals,8,2
2017-09-23,Cincinnati Reds,Boston Red Sox,5,0
2017-09-23,Detroit Tigers,Minnesota Twins,1,4
2017-09-23,Houston Astros,Los Angeles Angels,2,6
2017-09-23,Los Angeles Dodgers,San Francisco Giants,2,1
2017-09-23,Milwaukee Brewers,Chicago Cubs,3,4
2017-09-23,New York Mets,Washington Nationals,4,3
2017-09-23,Oakland Athletics,Texas Rangers,0,1
2017-09-23,Pittsburgh Pirates,St. Louis Cardinals,6,1
2017-09-23,San Diego Padres,Colorado Rockies,0,5
2017-09-23,Seattle Mariners,Cleveland Indians,1,4
2017-09-23,Toronto Blue Jays,New York Yankees,5,1
2017-09-24,Arizona D'Backs,Miami Marlins,2,3
2017-09-24,Atlanta Braves,Philadelphia Phillies,2,0
2017-09-24,Baltimore Orioles,Tampa Bay Rays,4,9
2017-09-24,Chicago White Sox,Kansas City Royals,1,8
2017-09-24,Cincinnati Reds,Boston Red Sox,5,4
2017-09-24,Detroit Tigers,Minnesota Twins,1,4
2017-09-24,Houston Astros,Los Angeles Angels,7,5
2017-09-24,Los Angeles Dodgers,San Francisco Giants,1,3
2017-09-24,Milwaukee Brewers,Chicago Cubs,5,0
2017-09-24,New York Mets,Washington Nationals,3,2
2017-09-24,Oakland Athletics,Texas Rangers,1,8
2017-09-24,Pittsburgh Pirates,St. Louis Cardinals,1,4
2017-09-24,San Diego Padres,Colorado Rockies,8,4
2017-09-24,Seattle Mariners,Cleveland Indians,4,2
2017-09-24,Toronto Blue Jays,New York Yankees,5,9
2017-09-25,Arizona D'Backs,San Francisco Giants,9,2
2017-09-25,Boston Red Sox,Toronto Blue Jays,6,4
2017-09-25,Chicago White Sox,Los Angeles Angels,2,4
2017-09-25,Colorado Rockies,Miami Marlins,5,4
2017-09-25,Los Angeles Dodgers,San Diego Padres,3,9
2017-09-25,New York Yankees,Kansas City Royals,3,1
2017-09-25,New York Mets,Atlanta Braves,9,2
2017-09-25,New York Mets,Atlanta Braves,2,3
2017-09-25,Oakland Athletics,Seattle Mariners,7,1
2017-09-25,Philadelphia Phillies,Washington Nationals,3,1
2017-09-25,St. Louis Cardinals,Chicago Cubs,1,2
2017-09-25,Texas Rangers,Houston Astros,1,2
2017-09-26,Arizona D'Backs,San Francisco Giants,4,1
2017-09-26,Boston Red Sox,Toronto Blue Jays,9,4
2017-09-26,Chicago White Sox,Los Angeles Angels,9,3
2017-09-26,Cleveland Indians,Minnesota Twins,8,6
2017-09-26,Colorado Rockies,Miami Marlins,0,6
2017-09-26,Kansas City Royals,Detroit Tigers,1,2
2017-09-26,Los Angeles Dodgers,San Diego Padres,2,9
2017-09-26,Milwaukee Brewers,Cincinnati Reds,6,7
2017-09-26,New York Yankees,Tampa Bay Rays,1,6
2017-09-26,New York Mets,Atlanta Braves,3,4
2017-09-26,Oakland Athletics,Seattle Mariners,6,3
2017-09-26,Philadelphia Phillies,Washington Nationals,1,4
2017-09-26,Pittsburgh Pirates,Baltimore Orioles,1,0
2017-09-26,St. Louis Cardinals,Chicago Cubs,7,8
2017-09-26,Texas Rangers,Houston Astros,1,3
2017-09-27,Arizona D'Backs,San Francisco Giants,3,4
2017-09-27,Boston Red Sox,Toronto Blue Jays,7,0
2017-09-27,Chicago White Sox,Los Angeles Angels,4,6
2017-09-27,Cleveland Indians,Minnesota Twins,2,4
2017-09-27,Colorado Rockies,Miami Marlins,9,5
2017-09-27,Kansas City Royals,Detroit Tigers,4,7
2017-09-27,Los Angeles Dodgers,San Diego Padres,0,0
2017-09-27,Milwaukee Brewers,Cincinnati Reds,6,0
2017-09-27,New York Yankees,Tampa Bay Rays,1,6
2017-09-27,New York Mets,Atlanta Braves,1,7
2017-09-27,Oakland Athletics,Seattle Mariners,5,6
2017-09-27,Philadelphia Phillies,Washington Nationals,5,7
2017-09-27,Pittsburgh Pirates,Baltimore Orioles,3,5
2017-09-27,St. Louis Cardinals,Chicago Cubs,5,1
2017-09-27,Texas Rangers,Houston Astros,1,2
2017-09-28,Boston Red Sox,Houston Astros,1,2
2017-09-28,Chicago White Sox,Los Angeles Angels,4,5
2017-09-28,Cleveland Indians,Minnesota Twins,2,5
2017-09-28,Kansas City Royals,Detroit Tigers,4,1
2017-09-28,Miami Marlins,Atlanta Braves,1,7
2017-09-28,Milwaukee Brewers,Cincinnati Reds,3,4
2017-09-28,New York Yankees,Tampa Bay Rays,9,6
2017-09-28,St. Louis Cardinals,Chicago Cubs,2,1
2017-09-28,Texas Rangers,Oakland Athletics,4,1
2017-09-28,Washington Nationals,Pittsburgh Pirates,4,5
2017-09-29,Los Angeles Angels,Seattle Mariners,5,6
2017-09-29,Boston Red Sox,Houston Astros,3,2
