last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_era,p_opp_batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,
Wood, Hunter,621056,2019,26,36,45.1,195,180,46,32,6,1,7,39,12,20.0,6.2,.256,.417,.303,.719,15,20,1,0,1,1,2.98,.256,.248,.393,.303,.296,.297,.145,87.3,19.8,32.4,4.9,752,55.6,93.6,2492,28.1,86.6,2555,11.3,86.2,1703,5.1,76.7,2328,,,,,,,,,,,,,
Marvel, James,621086,2019,26,4,17.1,84,74,25,12,9,0,4,9,6,10.7,7.1,.338,.622,.393,1.014,16,16,0,0,0,3,8.31,.338,.309,.457,.423,.361,.377,.147,89.1,7.6,34.3,4.5,331,20.8,90.3,1882,,,,19.9,84.5,1264,26.3,79.6,2283,32.9,90.6,1835,,,,,,,,,,
Waguespack, Jacob,621097,2019,26,16,78.0,335,301,75,44,17,2,12,63,29,18.8,8.7,.249,.439,.325,.764,38,43,0,0,5,5,4.38,.249,.274,.472,.325,.351,.348,.198,89.1,14.8,35.7,7.1,1333,32.2,92.3,2011,5.3,85.8,2121,8.1,83,1519,14.3,78.7,2168,16.2,90.2,1983,24,89.2,1984,,,,,,,
Eflin, Zach,621107,2019,25,32,163.1,705,642,172,110,34,0,28,129,48,18.3,6.8,.268,.452,.321,.772,75,88,0,0,10,13,4.13,.268,.234,.399,.325,.295,.293,.165,88.3,12.6,29.1,6.9,2492,34.2,93.8,2185,31.2,87.1,2248,7.9,86.7,1785,5.1,77.9,2412,21.1,93.2,2090,0.5,89.6,2227,,,,,,,
Buehler, Walker,621111,2019,25,30,182.1,737,685,153,99,29,5,20,215,37,29.2,5.0,.223,.368,.267,.635,66,77,0,0,14,4,3.26,.223,.227,.368,.270,.277,.273,.141,89.3,12.8,34.5,5.4,2831,53.2,96.5,2456,14.2,86.8,2867,0.5,91.6,1516,12,80.7,2915,7.1,96.6,2346,13,92.8,2713,,,,,,,
Blackburn, Paul,621112,2019,26,4,11.0,57,50,19,12,3,1,3,8,4,14.0,7.0,.380,.660,.421,1.081,13,14,0,0,0,2,10.64,.380,.355,.582,.445,.421,.410,.227,86.4,1.3,40.9,6.8,224,11.2,90,2141,21.4,86.9,2386,5.4,84.9,1733,21.4,79,2664,40.6,90.7,2041,,,,,,,,,,
Burr, Ryan,621114,2019,25,16,19.2,86,75,17,10,3,1,3,20,8,23.3,9.3,.227,.413,.291,.704,10,13,0,0,1,1,4.58,.227,.216,.356,.297,.295,.301,.140,91.4,9.9,29.3,5.2,356,58.1,95,2071,17.1,83.1,2310,,,,,,,,,,24.7,87.3,2217,,,,,,,
Lockett, Walker,621141,2019,25,9,22.2,103,95,33,21,5,1,6,16,6,15.5,5.8,.347,.611,.388,.999,21,21,0,0,1,1,8.34,.347,.305,.516,.415,.369,.353,.210,88.7,11.4,37.5,8.8,369,45.5,92.5,2245,,,,20.3,86.4,1519,24.1,80,2629,10,93.1,2272,,,,,,,,,,
Buttrey, Ty,621142,2019,26,72,72.1,309,279,69,50,10,1,8,84,23,27.2,7.4,.247,.376,.314,.690,32,34,2,4,6,7,3.98,.247,.242,.393,.298,.307,.311,.151,90,13.6,35,5.6,1210,57,97.1,2233,29.5,83.8,1867,13.4,87.6,1835,,,,0.1,95.3,2047,,,,,,,,,,
Bowman, Matt,621199,2019,28,27,32.0,137,122,27,17,8,0,2,25,13,18.2,9.5,.221,.336,.292,.628,13,15,0,0,2,0,3.66,.221,.221,.299,.263,.255,.292,.078,85.5,6,25.3,2,549,37.9,92.5,2021,17.7,89.3,2245,,,,11.5,80.6,2462,2.7,91.3,1946,14.6,93.5,2117,15.7,82,1182,,,,
Mills, Alec,621219,2019,28,9,36.0,152,134,31,20,5,1,5,42,11,27.6,7.2,.231,.396,.322,.718,11,11,1,0,1,0,2.75,.231,.248,.451,.311,.340,.337,.202,88.4,11.1,35.9,7.6,553,30.7,89.5,2218,11,78.2,2609,19.2,80.7,1727,15.6,67.6,2511,23.5,89.9,2202,,,,,,,,,,
