last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Muncy, Max,571970,2021,31,497,592,124,60,26,2,36,120,83,20.3,14.0,.249,.527,.368,.895,94,2,144,11,95,2,0,,.270,.578,.379,.405,.386,.307,91.2,15.2,34.9,16.1,38.6,33.1,22.8,5.6,26.7,
Seager, Kyle,572122,2021,34,603,670,128,63,29,1,35,161,59,24.0,8.8,.212,.438,.285,.723,101,3,159,4,73,2,1,,.221,.452,.308,.319,.294,.231,89,19.5,35.7,12.3,33.4,37.7,19.7,9.2,25.5,
Taylor, Michael A.,572191,2021,30,483,528,118,89,16,1,12,144,33,27.3,6.3,.244,.356,.295,.652,54,14,142,5,58,11,3,,.246,.386,.286,.299,.298,.141,89.4,12.1,30.6,6.6,46.2,27.5,22.5,3.8,28.2,
Yastrzemski, Mike,573262,2021,31,468,532,105,49,28,3,25,131,51,24.6,9.6,.224,.457,.310,.767,71,4,139,9,75,4,0,,.220,.428,.326,.316,.308,.208,89.5,19.4,33.1,10.3,34.3,35.8,22,7.9,27.3,
Iglesias, Jose,578428,2021,31,483,511,131,93,27,2,9,75,21,14.7,4.1,.271,.391,.309,.701,48,5,137,6,65,4,1,,.269,.364,.304,.296,.307,.096,85.4,11.3,35.5,3.4,42.1,22,29.3,6.6,28.3,
Bryant, Kris,592178,2021,29,513,586,136,77,32,2,25,135,62,23.0,10.6,.265,.481,.353,.835,73,10,144,9,86,10,0,,.260,.448,.356,.345,.349,.188,88.2,15.1,37.1,10.3,37.9,29.5,26.3,6.3,27.9,
Canha, Mark,592192,2021,32,519,625,120,77,22,4,17,128,77,20.5,12.3,.231,.387,.358,.746,61,12,141,27,93,7,5,,.231,.378,.333,.332,.358,.147,87.3,13.5,36.1,7.1,42.2,24.4,26,7.4,27.8,
Castellanos, Nick,592206,2021,29,531,585,164,91,38,1,34,121,41,20.7,7.0,.309,.576,.362,.939,100,3,138,7,95,3,0,,.293,.534,.391,.374,.350,.241,89.8,14,44,10.6,38,29.1,29.3,3.6,27.6,
Judge, Aaron,592450,2021,29,550,633,158,95,24,0,39,158,75,25.0,11.8,.287,.544,.373,.916,98,6,148,3,89,6,0,,.306,.588,.387,.415,.391,.283,95.8,11.6,38.5,17.6,42.1,28,27.2,2.8,27.6,
Machado, Manny,592518,2021,29,564,640,157,96,31,2,28,102,63,15.9,9.8,.278,.489,.347,.836,106,12,153,2,92,12,0,,.294,.529,.350,.379,.367,.235,93.1,14,33.8,13.3,39.5,25.4,26.4,8.7,26.4,
